observable_value,artifact_details,data_source,classification,STIX_supported,proprietary_artifact,parser,notes,description,technique_num,description_id,deprecated,related_id,file name,url,Added by,,,,,,,,,
Stuxnet,Described,ICS system logs,Malware,Full: Malware,Proprietary-Documented Technology,,Malicious malware block referenced via MITRE that replaces the DP_RECV block.,"DP_RECV is the name of a standard function block used by network coprocessors. It is used to receive network frames on the Profibus a standard industrial network bus used for distributed I/O. The original block is copied to FC1869, and then replaced by a malicious block. Each time the function is used to receive a packet, the malicious [Stuxnet](https://attack.mitre.org/software/S0603) block takes control: it will call the original DP_RECV in FC1869 and then perform postprocessing on the packet data. The replaced DP_RECV block (later on referred to as the DP_RECV monitor) is meant to monitor data sent by the frequency converter drives to the 315-2 CPU via CP 342-5 Profibus communication modules. (Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011)",T0842,relationship--f29ecf69-1753-44bb-9b80-1025f49cadda,FALSE,,Stuxnet,https://attack.mitre.org/software/S0603,,,,,,,,,,
imain.bin,Actionable-Atomic,File system logs,File,Full: File,Proprietary-Undocumented Technology,,Binary payload used by Triton malware,"[Triton](https://attack.mitre.org/software/S1009)'s imain.bin payload takes commands from the TsHi.ExplReadRam(Ex), TsHi.ExplWriteRam(Ex) and TsHi.ExplExec functions to perform operations on controller memory and registers using syscalls written in PowerPC shellcode. (Citation: Jos Wetzels January 2018)",T0834,relationship--13809e98-1d74-4c39-b882-9d523c76cbde,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
PowerPC shellcode,Described,Memory dumps,Shellcode,No,Open/Standard Technology,,Syscalls are implemented in this architecture-specific shellcode,"[Triton](https://attack.mitre.org/software/S1009)'s imain.bin payload takes commands from the TsHi.ExplReadRam(Ex), TsHi.ExplWriteRam(Ex) and TsHi.ExplExec functions to perform operations on controller memory and registers using syscalls written in PowerPC shellcode. (Citation: Jos Wetzels January 2018)",T0834,relationship--13809e98-1d74-4c39-b882-9d523c76cbde,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triton,Described,ICS system logs,Software/Tool,Full: Tool,Proprietary-Undocumented Technology,,Malware name with MITRE ATT&CK identifier S1009,"[Triton](https://attack.mitre.org/software/S1009)'s imain.bin payload takes commands from the TsHi.ExplReadRam(Ex), TsHi.ExplWriteRam(Ex) and TsHi.ExplExec functions to perform operations on controller memory and registers using syscalls written in PowerPC shellcode. (Citation: Jos Wetzels January 2018)",T0834,relationship--13809e98-1d74-4c39-b882-9d523c76cbde,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
TsHi.ExplExec,Actionable-Atomic,ICS system logs,ICS Command,No,Proprietary-Undocumented Technology,,Function used to execute commands on the controller,"[Triton](https://attack.mitre.org/software/S1009)'s imain.bin payload takes commands from the TsHi.ExplReadRam(Ex), TsHi.ExplWriteRam(Ex) and TsHi.ExplExec functions to perform operations on controller memory and registers using syscalls written in PowerPC shellcode. (Citation: Jos Wetzels January 2018)",T0834,relationship--13809e98-1d74-4c39-b882-9d523c76cbde,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
TsHi.ExplReadRam(Ex),Actionable-Atomic,ICS system logs,ICS Command,No,Proprietary-Undocumented Technology,,Function used to read controller memory via syscalls,"[Triton](https://attack.mitre.org/software/S1009)'s imain.bin payload takes commands from the TsHi.ExplReadRam(Ex), TsHi.ExplWriteRam(Ex) and TsHi.ExplExec functions to perform operations on controller memory and registers using syscalls written in PowerPC shellcode. (Citation: Jos Wetzels January 2018)",T0834,relationship--13809e98-1d74-4c39-b882-9d523c76cbde,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
TsHi.ExplWriteRam(Ex),Actionable-Atomic,ICS system logs,ICS Command,No,Proprietary-Undocumented Technology,,Function used to write to controller memory via syscalls,"[Triton](https://attack.mitre.org/software/S1009)'s imain.bin payload takes commands from the TsHi.ExplReadRam(Ex), TsHi.ExplWriteRam(Ex) and TsHi.ExplExec functions to perform operations on controller memory and registers using syscalls written in PowerPC shellcode. (Citation: Jos Wetzels January 2018)",T0834,relationship--13809e98-1d74-4c39-b882-9d523c76cbde,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triconex Safety Instrumented System,Described,ICS data,Industrial Control System,No,Proprietary-Documented Technology,,Target system onto which programs were downloaded.,[Triton](https://attack.mitre.org/software/S1009) leveraged the TriStation protocol to download programs onto Triconex Safety Instrumented System. (Citation: Jos Wetzels January 2018),T0843,relationship--1f8abf6f-0dd0-4449-b555-733fe7296177,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
TriStation protocol,Described,network logs,ICS Protocol,No,Proprietary-Documented Technology,,Protocol leveraged by Triton to download programs.,[Triton](https://attack.mitre.org/software/S1009) leveraged the TriStation protocol to download programs onto Triconex Safety Instrumented System. (Citation: Jos Wetzels January 2018),T0843,relationship--1f8abf6f-0dd0-4449-b555-733fe7296177,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triton,Described,system logs,Software/Tool,Full: Software,Proprietary-Documented Technology,,Referenced with MITRE ATT&CK identifier S1009.,[Triton](https://attack.mitre.org/software/S1009) leveraged the TriStation protocol to download programs onto Triconex Safety Instrumented System. (Citation: Jos Wetzels January 2018),T0843,relationship--1f8abf6f-0dd0-4449-b555-733fe7296177,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
inject.bin,Actionable-Atomic,system logs,Executable File,Full: File,Open/Standard Technology,,Triton‰Ûªs injector binary that masquerades as a standard compiled PowerPC program for the Tricon.,"[Triton](https://attack.mitre.org/software/S1009)'s injector, inject.bin, masquerades as a standard compiled PowerPC program for the Tricon. (Citation: DHS CISA February 2019)

[Triton](https://attack.mitre.org/software/S1009) was configured to masquerade as trilog.exe, which is the Triconex software for analyzing SIS logs.(Citation: FireEye TRITON)",T0849,relationship--350814da-5c36-42f9-8e58-8f9534e6ce0a,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
trilog.exe,Actionable-Atomic,system logs,Executable File,Full: File,Open/Standard Technology,,Configured by Triton to masquerade as the Triconex software used for analyzing SIS logs.,"[Triton](https://attack.mitre.org/software/S1009)'s injector, inject.bin, masquerades as a standard compiled PowerPC program for the Tricon. (Citation: DHS CISA February 2019)

[Triton](https://attack.mitre.org/software/S1009) was configured to masquerade as trilog.exe, which is the Triconex software for analyzing SIS logs.(Citation: FireEye TRITON)",T0849,relationship--350814da-5c36-42f9-8e58-8f9534e6ce0a,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triton,Described,threat intelligence reports,Software/Tool,No,Open/Standard Technology,,Referenced with a MITRE ATT&CK identifier (S1009); represents the malicious tool used in the procedure.,"[Triton](https://attack.mitre.org/software/S1009)'s injector, inject.bin, masquerades as a standard compiled PowerPC program for the Tricon. (Citation: DHS CISA February 2019)

[Triton](https://attack.mitre.org/software/S1009) was configured to masquerade as trilog.exe, which is the Triconex software for analyzing SIS logs.(Citation: FireEye TRITON)",T0849,relationship--350814da-5c36-42f9-8e58-8f9534e6ce0a,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Python script,Mentioned,File system logs,Software/Tool,Full: File,Open/Standard Technology,,Generic Python script used by Triton for network scanning,[Triton](https://attack.mitre.org/software/S1009) uses a Python script that is capable of detecting Triconex controllers on the network by sending a specific UDP broadcast packet over port 1502. (Citation: DHS CISA February 2019),T0846,relationship--351e19c4-c16e-493a-9800-a433107aacf1,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triconex controllers,Mentioned,Network logs,Industrial Control System (ICS) Device,No,Proprietary-Documented Technology,,Target ICS devices detected by the Python script,[Triton](https://attack.mitre.org/software/S1009) uses a Python script that is capable of detecting Triconex controllers on the network by sending a specific UDP broadcast packet over port 1502. (Citation: DHS CISA February 2019),T0846,relationship--351e19c4-c16e-493a-9800-a433107aacf1,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triton,Described,System logs,Software/Tool,Full: Malware,Proprietary-Documented Technology,,Referenced from MITRE ATT&CK (S1009),[Triton](https://attack.mitre.org/software/S1009) uses a Python script that is capable of detecting Triconex controllers on the network by sending a specific UDP broadcast packet over port 1502. (Citation: DHS CISA February 2019),T0846,relationship--351e19c4-c16e-493a-9800-a433107aacf1,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
UDP broadcast packet over port 1502,Described,Network traffic logs,Network Packet,Full: Network Traffic,Open/Standard Technology,Wireshark,Packet sent to detect Triconex controllers,[Triton](https://attack.mitre.org/software/S1009) uses a Python script that is capable of detecting Triconex controllers on the network by sending a specific UDP broadcast packet over port 1502. (Citation: DHS CISA February 2019),T0846,relationship--351e19c4-c16e-493a-9800-a433107aacf1,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
controller,Mentioned,ICS device logs,ICS Controller,No,Proprietary-Documented Technology,,The target device to which Triton applies its actions.,[Triton](https://attack.mitre.org/software/S1009) would reset the controller to the previous state over TriStation and if this failed it would write a dummy program to memory in what was likely an attempt at anti-forensics. (Citation: Jos Wetzels January 2018),T0872,relationship--56dcc2d7-5243-4a5d-a556-8723642e98a4,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
dummy program,Mentioned,Controller memory dumps,Software/Tool,No,Proprietary-Undocumented Technology,,A generic program written to memory likely to mislead forensic analysis.,[Triton](https://attack.mitre.org/software/S1009) would reset the controller to the previous state over TriStation and if this failed it would write a dummy program to memory in what was likely an attempt at anti-forensics. (Citation: Jos Wetzels January 2018),T0872,relationship--56dcc2d7-5243-4a5d-a556-8723642e98a4,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
TriStation,Mentioned,ICS network logs,ICS Protocol,No,Proprietary-Documented Technology,,Used as the communication medium to reset the controller.,[Triton](https://attack.mitre.org/software/S1009) would reset the controller to the previous state over TriStation and if this failed it would write a dummy program to memory in what was likely an attempt at anti-forensics. (Citation: Jos Wetzels January 2018),T0872,relationship--56dcc2d7-5243-4a5d-a556-8723642e98a4,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triton,Described,ICS system logs,Software/Tool,Full: Tool,Proprietary-Undocumented Technology,,Referenced with a MITRE ATT&CK link (S1009).,[Triton](https://attack.mitre.org/software/S1009) would reset the controller to the previous state over TriStation and if this failed it would write a dummy program to memory in what was likely an attempt at anti-forensics. (Citation: Jos Wetzels January 2018),T0872,relationship--56dcc2d7-5243-4a5d-a556-8723642e98a4,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Tricon MP3008 firmware version 10.010.4,Described,ICS data,Firmware,Full: Software,Proprietary-Documented Technology,,Specific firmware version affected by the vulnerability exploited by Triton.,"[Triton](https://attack.mitre.org/software/S1009) leverages a previously-unknown vulnerability affecting Tricon MP3008 firmware versions 10.010.4 allows an insecurely-written system call to be exploited to achieve an arbitrary 2-byte write primitive, which is then used to gain supervisor privileges. (Citation: DHS CISA February 2019)",T0890,relationship--591620d3-5549-49db-9080-43f86a68a590,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triton,Described,system logs,Software/Tool,Full: Software,Proprietary-Documented Technology,,Referenced via MITRE ATT&CK; it is a malicious software tool.,"[Triton](https://attack.mitre.org/software/S1009) leverages a previously-unknown vulnerability affecting Tricon MP3008 firmware versions 10.010.4 allows an insecurely-written system call to be exploited to achieve an arbitrary 2-byte write primitive, which is then used to gain supervisor privileges. (Citation: DHS CISA February 2019)",T0890,relationship--591620d3-5549-49db-9080-43f86a68a590,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
insecurely-written system call,Described,"system logs, memory",OS System Call,No,Proprietary-Undocumented Technology,,System call in Tricon firmware used by attacker to perform arbitrary writes,"[Triton](https://attack.mitre.org/software/S1009) leverages a previously-unknown vulnerability affecting Tricon MP3008 firmware versions 10.010.4 allows an insecurely-written system call to be exploited to achieve an arbitrary 2-byte write primitive, which is then used to gain supervisor privileges. (Citation: DHS CISA February 2019)",T0890,relationship--591620d3-5549-49db-9080-43f86a68a591,FALSE,,Triton,https://attack.mitre.org/software/S1009,Yuval,,,,,,,,,
arbitrary 2-byte write primitive,Described,memory,Exploit Technique,No,Proprietary-Undocumented Technology,,Write primitive achieved by exploiting system call to gain privileges,"[Triton](https://attack.mitre.org/software/S1009) leverages a previously-unknown vulnerability affecting Tricon MP3008 firmware versions 10.010.4 allows an insecurely-written system call to be exploited to achieve an arbitrary 2-byte write primitive, which is then used to gain supervisor privileges. (Citation: DHS CISA February 2019)",T0890,relationship--591620d3-5549-49db-9080-43f86a68a592,FALSE,,Triton,https://attack.mitre.org/software/S1009,Yuval,,,,,,,,,
argument-setting,Described,firmware image,Code snippet,No,Proprietary-Undocumented Technology,,A component from Triton injected into the target‰Ûªs program table.,[Triton](https://attack.mitre.org/software/S1009)'s argument-setting and inject.bin shellcode are added to the program table on the Tricon so that they are executed by the firmware once each cycle. (Citation: DHS CISA February 2019) (Citation: Jos Wetzels January 2018),T0821,relationship--63ca148e-12c9-4090-b51e-a8fb7a847a2a,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
inject.bin shellcode,Described,firmware image,Code snippet,No,Proprietary-Undocumented Technology,,A binary payload (shellcode) named 'inject.bin' added for execution by the firmware.,[Triton](https://attack.mitre.org/software/S1009)'s argument-setting and inject.bin shellcode are added to the program table on the Tricon so that they are executed by the firmware once each cycle. (Citation: DHS CISA February 2019) (Citation: Jos Wetzels January 2018),T0821,relationship--63ca148e-12c9-4090-b51e-a8fb7a847a2a,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
program table,Described,device firmware,ICS Configuration,No,Proprietary-Documented Technology,,The configuration table in the Tricon device where the payload components are inserted.,[Triton](https://attack.mitre.org/software/S1009)'s argument-setting and inject.bin shellcode are added to the program table on the Tricon so that they are executed by the firmware once each cycle. (Citation: DHS CISA February 2019) (Citation: Jos Wetzels January 2018),T0821,relationship--63ca148e-12c9-4090-b51e-a8fb7a847a2a,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Tricon,Mentioned,ICS device logs,PLC,No,Proprietary-Documented Technology,,The targeted industrial control system device whose firmware executes the injected payload each cycle.,[Triton](https://attack.mitre.org/software/S1009)'s argument-setting and inject.bin shellcode are added to the program table on the Tricon so that they are executed by the firmware once each cycle. (Citation: DHS CISA February 2019) (Citation: Jos Wetzels January 2018),T0821,relationship--63ca148e-12c9-4090-b51e-a8fb7a847a2a,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triton,Described,ICS firmware logs,Software/Tool,No,Proprietary-Undocumented Technology,,Referenced with a MITRE ATT&CK link (S1009) as the malware/tool involved.,[Triton](https://attack.mitre.org/software/S1009)'s argument-setting and inject.bin shellcode are added to the program table on the Tricon so that they are executed by the firmware once each cycle. (Citation: DHS CISA February 2019) (Citation: Jos Wetzels January 2018),T0821,relationship--63ca148e-12c9-4090-b51e-a8fb7a847a2a,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
library.zip,Described,file system,Archive File,Full: File,Open/Standard Technology,,Separate file containing modules that implement the TriStation communication protocol and supporting components.,[Triton](https://attack.mitre.org/software/S1009) communicates with Triconex controllers using a custom component framework written entirely in Python. The modules that implement the TriStation communication protocol and other supporting components are found in a separate file -- library.zip -- the main script that employs this functionality is compiled into a standalone py2exe Windows executable -- trilog.exe which includes a Python environment. (Citation: DHS CISA February 2019),T0853,relationship--709c4e40-c5c6-405b-bc3d-0adfea40ccd4,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triconex controllers,Mentioned,ICS data,PLC,No,Proprietary-Documented Technology,,Industrial control system devices used for process control.,[Triton](https://attack.mitre.org/software/S1009) communicates with Triconex controllers using a custom component framework written entirely in Python. The modules that implement the TriStation communication protocol and other supporting components are found in a separate file -- library.zip -- the main script that employs this functionality is compiled into a standalone py2exe Windows executable -- trilog.exe which includes a Python environment. (Citation: DHS CISA February 2019),T0853,relationship--709c4e40-c5c6-405b-bc3d-0adfea40ccd4,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
trilog.exe,Actionable-Atomic,file system,Executable File,Full: File,Open/Standard Technology,,Standalone py2exe Windows executable that includes a Python environment.,[Triton](https://attack.mitre.org/software/S1009) communicates with Triconex controllers using a custom component framework written entirely in Python. The modules that implement the TriStation communication protocol and other supporting components are found in a separate file -- library.zip -- the main script that employs this functionality is compiled into a standalone py2exe Windows executable -- trilog.exe which includes a Python environment. (Citation: DHS CISA February 2019),T0853,relationship--709c4e40-c5c6-405b-bc3d-0adfea40ccd4,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
TriStation communication protocol,Described,network logs,ICS Communication Protocol,No,Proprietary-Undocumented Technology,,Custom protocol implemented in modules to communicate with Triconex controllers.,[Triton](https://attack.mitre.org/software/S1009) communicates with Triconex controllers using a custom component framework written entirely in Python. The modules that implement the TriStation communication protocol and other supporting components are found in a separate file -- library.zip -- the main script that employs this functionality is compiled into a standalone py2exe Windows executable -- trilog.exe which includes a Python environment. (Citation: DHS CISA February 2019),T0853,relationship--709c4e40-c5c6-405b-bc3d-0adfea40ccd4,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triton,Described,system logs,Software/Tool,Full: Software,Proprietary-Documented Technology,,Referenced in MITRE ATT&CK (S1009) and DHS CISA February 2019 citation.,[Triton](https://attack.mitre.org/software/S1009) communicates with Triconex controllers using a custom component framework written entirely in Python. The modules that implement the TriStation communication protocol and other supporting components are found in a separate file -- library.zip -- the main script that employs this functionality is compiled into a standalone py2exe Windows executable -- trilog.exe which includes a Python environment. (Citation: DHS CISA February 2019),T0853,relationship--709c4e40-c5c6-405b-bc3d-0adfea40ccd4,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
py2exe,Described,build environment,Packaging Tool,No,Open/Standard Technology,,Tool used to convert Python scripts into Windows executables,[Triton](https://attack.mitre.org/software/S1009) communicates with Triconex controllers using a custom component framework written entirely in Python. The modules that implement the TriStation communication protocol and other supporting components are found in a separate file -- library.zip -- the main script that employs this functionality is compiled into a standalone py2exe Windows executable -- trilog.exe which includes a Python environment. (Citation: DHS CISA February 2019),T0853,relationship--709c4e40-c5c6-405b-bc3d-0adfea40ccd5,FALSE,,Triton,https://attack.mitre.org/software/S1009,Yuval,,,,,,,,,
custom component framework in Python,Described,script execution logs,Script Framework,No,Open/Standard Technology,python,Python-based framework used by Triton to communicate with Triconex controllers,[Triton](https://attack.mitre.org/software/S1009) communicates with Triconex controllers using a custom component framework written entirely in Python. The modules that implement the TriStation communication protocol and other supporting components are found in a separate file -- library.zip -- the main script that employs this functionality is compiled into a standalone py2exe Windows executable -- trilog.exe which includes a Python environment. (Citation: DHS CISA February 2019),T0853,relationship--709c4e40-c5c6-405b-bc3d-0adfea40ccd6,FALSE,,Triton,https://attack.mitre.org/software/S1009,Yuval,,,,,,,,,
TriStation protocol,Mentioned,ICS network logs,ICS Protocol,No,Proprietary-Undocumented Technology,,Referenced as the protocol used to halt or run a program; no further unique details provided.,[Triton](https://attack.mitre.org/software/S1009) has the ability to halt or run a program through the TriStation protocol. TsHi.py contains instances of halt and run functions being executed. (Citation: MDudek-ICS),T0858,relationship--74b66248-2cb6-46ea-b52c-c7d60c170f3f,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triton,Described,system logs,Software/Tool,Full: Software,Proprietary-Documented Technology,,Referenced with a MITRE ATT&CK link (S1009) indicating its documented nature.,[Triton](https://attack.mitre.org/software/S1009) has the ability to halt or run a program through the TriStation protocol. TsHi.py contains instances of halt and run functions being executed. (Citation: MDudek-ICS),T0858,relationship--74b66248-2cb6-46ea-b52c-c7d60c170f3f,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
TsHi.py,Actionable-Atomic,file system,File/Script,Full: File,Open/Standard Technology,,A Python script file containing instances of halt and run functions.,[Triton](https://attack.mitre.org/software/S1009) has the ability to halt or run a program through the TriStation protocol. TsHi.py contains instances of halt and run functions being executed. (Citation: MDudek-ICS),T0858,relationship--74b66248-2cb6-46ea-b52c-c7d60c170f3f,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
halt function in TsHi.py,Actionable-Computed,script execution logs,Python Function Call,No,Proprietary-Undocumented Technology,python,Python function observed in Triton script used to stop controller execution,[Triton](https://attack.mitre.org/software/S1009) has the ability to halt or run a program through the TriStation protocol. TsHi.py contains instances of halt and run functions being executed. (Citation: MDudek-ICS),T0858,relationship--74b66248-2cb6-46ea-b52c-c7d60c170f3f,FALSE,,Triton,https://attack.mitre.org/software/S1009,Yuval,,,,,,,,,
run function in TsHi.py,Actionable-Computed,script execution logs,Python Function Call,No,Proprietary-Undocumented Technology,python,Python function observed in Triton script used to start controller execution,[Triton](https://attack.mitre.org/software/S1009) has the ability to halt or run a program through the TriStation protocol. TsHi.py contains instances of halt and run functions being executed. (Citation: MDudek-ICS),T0858,relationship--74b66248-2cb6-46ea-b52c-c7d60c170f3f,FALSE,,Triton,https://attack.mitre.org/software/S1009,Yuval,,,,,,,,,
Triton,Described,system logs,Software/Tool,Full: Software,Proprietary-Documented Technology,,Referenced via MITRE ATT&CK ID S1009,"[Triton](https://attack.mitre.org/software/S1009) uses TriStations default UDP port, 1502, to communicate with devices. (Citation: MDudek-ICS)",T0885,relationship--8b2d82aa-75fc-4d6d-bb4b-9f600bd211fd,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
UDP port 1502,Actionable-Atomic,network logs,Network Port,No,Open/Standard Technology,,This is the default UDP port used by TriStations for communication,"[Triton](https://attack.mitre.org/software/S1009) uses TriStations default UDP port, 1502, to communicate with devices. (Citation: MDudek-ICS)",T0885,relationship--8b2d82aa-75fc-4d6d-bb4b-9f600bd211fd,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Device Firmware Region,Mentioned,ICS data,Firmware,No,Proprietary-Documented Technology,,Refers to the region of memory within the safety controller containing firmware code; described generally without unique identifiers.,"[Triton](https://attack.mitre.org/software/S1009) is able to read, write and execute code in memory on the safety controller at an arbitrary address within the devices firmware region. This allows the malware to make changes to the running firmware in memory and modify how the device operates. (Citation: DHS CISA February 2019)",T0857,relationship--93e24e03-6425-4ee8-99bb-c3a662c6cdce,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Safety Controller,Mentioned,ICS data,ICS Device,No,Proprietary-Documented Technology,,General reference to the device component that controls safety operations without specific vendor details.,"[Triton](https://attack.mitre.org/software/S1009) is able to read, write and execute code in memory on the safety controller at an arbitrary address within the devices firmware region. This allows the malware to make changes to the running firmware in memory and modify how the device operates. (Citation: DHS CISA February 2019)",T0857,relationship--93e24e03-6425-4ee8-99bb-c3a662c6cdce,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triton,Described,ICS data,Software/Tool,Full: Software,Proprietary-Documented Technology,,"Malware capable of reading, writing, and executing code in memory on ICS safety controllers as documented by MITRE.","[Triton](https://attack.mitre.org/software/S1009) is able to read, write and execute code in memory on the safety controller at an arbitrary address within the devices firmware region. This allows the malware to make changes to the running firmware in memory and modify how the device operates. (Citation: DHS CISA February 2019)",T0857,relationship--93e24e03-6425-4ee8-99bb-c3a662c6cdce,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
arbitrary address access,Actionable-Computed,memory,Memory Access Pattern,No,Proprietary-Undocumented Technology,,Technique that allows Triton to modify running firmware at chosen locations,"[Triton](https://attack.mitre.org/software/S1009) is able to read, write and execute code in memory on the safety controller at an arbitrary address within the devices firmware region. This allows the malware to make changes to the running firmware in memory and modify how the device operates. (Citation: DHS CISA February 2019)",T0857,relationship--93e24e03-6425-4ee8-99bb-c3a662c6cdce,FALSE,,Triton,https://attack.mitre.org/software/S1009,Yuval,,,,,,,,,
Triton,Described,system logs,Software/Tool,Full: Software,Open/Standard Technology,,Referenced with a MITRE ATT&CK link (S1009).,"[Triton](https://attack.mitre.org/software/S1009) contains a file named TS_cnames.py which contains default definitions for program state (TS_progstate). Program state is referenced in TsHi.py.(Citation: MDudek-ICS)

[Triton](https://attack.mitre.org/software/S1009) contains a file named TS_cnames.py which contains default definitions for key state (TS_keystate). Key state is referenced in TsHi.py.(Citation: MDudek-ICS)",T0868,relationship--9db1ecfe-72eb-42da-a09e-746663a53854,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
TS_cnames.py,Actionable-Atomic,file system,File,Full: File,Open/Standard Technology,,Python file containing default definitions for program state and key state.,"[Triton](https://attack.mitre.org/software/S1009) contains a file named TS_cnames.py which contains default definitions for program state (TS_progstate). Program state is referenced in TsHi.py.(Citation: MDudek-ICS)

[Triton](https://attack.mitre.org/software/S1009) contains a file named TS_cnames.py which contains default definitions for key state (TS_keystate). Key state is referenced in TsHi.py.(Citation: MDudek-ICS)",T0868,relationship--9db1ecfe-72eb-42da-a09e-746663a53854,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
TS_keystate,Actionable-Atomic,file content,Code snippet,No,Open/Standard Technology,,Default definition for key state in TS_cnames.py.,"[Triton](https://attack.mitre.org/software/S1009) contains a file named TS_cnames.py which contains default definitions for program state (TS_progstate). Program state is referenced in TsHi.py.(Citation: MDudek-ICS)

[Triton](https://attack.mitre.org/software/S1009) contains a file named TS_cnames.py which contains default definitions for key state (TS_keystate). Key state is referenced in TsHi.py.(Citation: MDudek-ICS)",T0868,relationship--9db1ecfe-72eb-42da-a09e-746663a53854,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
TS_progstate,Actionable-Atomic,file content,Code snippet,No,Open/Standard Technology,,Default definition for program state in TS_cnames.py.,"[Triton](https://attack.mitre.org/software/S1009) contains a file named TS_cnames.py which contains default definitions for program state (TS_progstate). Program state is referenced in TsHi.py.(Citation: MDudek-ICS)

[Triton](https://attack.mitre.org/software/S1009) contains a file named TS_cnames.py which contains default definitions for key state (TS_keystate). Key state is referenced in TsHi.py.(Citation: MDudek-ICS)",T0868,relationship--9db1ecfe-72eb-42da-a09e-746663a53854,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
TsHi.py,Actionable-Atomic,file system,File,Full: File,Open/Standard Technology,,Python file that references TS_progstate and TS_keystate.,"[Triton](https://attack.mitre.org/software/S1009) contains a file named TS_cnames.py which contains default definitions for program state (TS_progstate). Program state is referenced in TsHi.py.(Citation: MDudek-ICS)

[Triton](https://attack.mitre.org/software/S1009) contains a file named TS_cnames.py which contains default definitions for key state (TS_keystate). Key state is referenced in TsHi.py.(Citation: MDudek-ICS)",T0868,relationship--9db1ecfe-72eb-42da-a09e-746663a53854,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
SafeAppendProgramMod,Described,ICS data,ICS Command,No,Proprietary-Undocumented Technology,,Specific ICS command invoked by Triton to transfer payloads,[Triton](https://attack.mitre.org/software/S1009) calls the SafeAppendProgramMod to transfer its payloads to the Tricon. Part of this call includes preforming a program upload. (Citation: MDudek-ICS),T0845,relationship--a946c9b1-5b89-44c9-b617-3412ffda34b9,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
